"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Lifestyle","Root Category/Clearance/LIFESTYLE / GIFTS","2","Yes","lifestyle","","","","","","Yes","Products only","","No","","","No layout updates",""
"Mini Lax","Root Category/Clearance/LIFESTYLE / GIFTS","1","Yes","mini-lax","","","","","","Yes","Products only","","No","","","No layout updates",""
"Replacement Nets","Root Category/Clearance/GOALS & TRAINING","6","Yes","replacement-nets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Backstops","Root Category/Clearance/GOALS & TRAINING","5","Yes","backstops","","","","","","Yes","Products only","","No","","","No layout updates",""
"Corner Targets","Root Category/Clearance/GOALS & TRAINING","4","Yes","corner-targets","","","","","","Yes","Products only","","No","","","No layout updates",""
"Rebounder Walls","Root Category/Clearance/GOALS & TRAINING","3","Yes","rebounder-walls","","","","","","Yes","Products only","","No","","","No layout updates",""
"Goals","Root Category/Clearance/GOALS & TRAINING","2","Yes","goals","","","","","","Yes","Products only","","No","","","No layout updates",""
"Balls","Root Category/Clearance/GOALS & TRAINING","1","Yes","balls","","","","","","Yes","Products only","","No","","","No layout updates",""
"Player Accessories","Root Category/Clearance/PROTECTIVE","10","No","player-accessories","","","","","","Yes","Products only","","No","","","No layout updates",""
"Goalie Gear","Root Category/Clearance/PROTECTIVE","9","Yes","goalie-gear","Get Amazing Clearance Deals on Lacrosse Goalie Pads and Protection from Brine, Gait, STX, Reebok, and Warrior for your next season while supplies LAST. New styles added weekly.","","Sale on Lax Goalie Pads | Clearance on Lacrosse Goalie Protection | Lax Goalie Guards Close-out Sale | Great Deal on Lax Goal Pads | Cheap Lacrosse Goalie Pads |","","Get Amazing Clearance Deals on Lacrosse Goalie Pads from Brine, Gait, STX, Reebok, and Warrior for your next season while supplies LAST at Lax Unlimited","Yes","Products only","","No","Brand,Price","Price","No layout updates",""
"Notre Dame","Root Category/Shop By/College","18","Yes","notre-dame","","","","","","Yes","Products only","","No","","","No layout updates",""
"Hofstra","Root Category/Shop By/College","33","Yes","hofstra","","","","","","Yes","Products only","","No","","","No layout updates",""
"Texas","Root Category/Shop By/College","26","Yes","texas","","","","","","Yes","Products only","","No","","","No layout updates",""
"Rage Cage","Root Category/Shop By/Brand","13","Yes","rage-cage","","","","","","Yes","Products only","","No","","","No layout updates",""
"Bow Net","Root Category/Shop By/Brand","1","Yes","bow-net","","","","","","Yes","Products only","","No","","","No layout updates",""
"Build Your Own","Root Category/Shop By/Sticks","2","Yes","build-your-own","","","","","","Yes","Products only","","No","","","No layout updates",""
"Stringing Supplies","Root Category/Shop By/Sticks","1","Yes","stringing-supplies","","","","","","Yes","Products only","","No","","","No layout updates",""
