Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Goalie Helmets,Root Category/Mens/Protective/Goalie Equipment,,Yes,Goalie Helmets,,,Goalie Helmets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie Shin Guards,Root Category/Mens/Protective/Goalie Equipment,,Yes,Goalie Shin Guards,,,Goalie Shin Guards,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie Pants,Root Category/Mens/Protective/Goalie Equipment,,Yes,Goalie Pants,,,Goalie Pants,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie Athletic Cups,Root Category/Mens/Protective/Goalie Equipment,,Yes,Goalie Athletic Cups,,,Goalie Athletic Cups,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie Throught Guard,Root Category/Mens/Protective/Goalie Equipment,,Yes,Goalie Throught Guard,,,Goalie Throught Guard,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Compression Shorts,Root Category/Mens/Protective/Athletic Cups,,Yes,Compression Shorts,,,Compression Shorts,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie,Root Category/Mens/Protective/Athletic Cups,,Yes,Goalie,,,Goalie,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Tape,Root Category/Mens/Protective/Game Day Accessories,,Yes,Tape,,,Tape,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Stink Out Spray,Root Category/Mens/Protective/Game Day Accessories,,Yes,Stink Out Spray,,,Stink Out Spray,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Water Bottles,Root Category/Mens/Protective/Game Day Accessories,,Yes,Water Bottles,,,Water Bottles,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Eye Black,Root Category/Mens/Protective/Game Day Accessories,,Yes,Eye Black,,,Eye Black,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
College,Root Category/Mens/Apparel/Lacrosse Shorts,,Yes,College,,,College,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Lax Unlimited,Root Category/Mens/Apparel/Lacrosse Shorts,,Yes,Lax Unlimited,,,Lax Unlimited,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Lifestyle,Root Category/Mens/Apparel/Lacrosse Shorts,,Yes,Lifestyle,,,Lifestyle,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Lifestyle,Root Category/Mens/Apparel/T Shirts,,Yes,Lifestyle,,,Lifestyle,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
College,Root Category/Mens/Apparel/T Shirts,,Yes,College,,,College,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Performance,Root Category/Mens/Apparel/T Shirts,,Yes,Performance,,,Performance,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Shorts,Root Category/Mens/Apparel/Performance Gear,,Yes,Shorts,,,Shorts,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Short Sleeves,Root Category/Mens/Apparel/Performance Gear,,Yes,Short Sleeves,,,Short Sleeves,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Jackets,Root Category/Mens/Apparel/Performance Gear,,Yes,Jackets,,,Jackets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Hoodies,Root Category/Mens/Apparel/Sweats,,Yes,Hoodies,,,Hoodies,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Full Zip,Root Category/Mens/Apparel/Sweats,,Yes,Full Zip,,,Full Zip,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Pants,Root Category/Mens/Apparel/Sweats,,Yes,Pants,,,Pants,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Snap Back,Root Category/Mens/Apparel/Hats,,Yes,Snap Back,,,Snap Back,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Low Profile,Root Category/Mens/Apparel/Hats,,Yes,Low Profile,,,Low Profile,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Winter,Root Category/Mens/Apparel/Hats,,Yes,Winter,,,Winter,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Web Use,Root Category/Mens/Lifestyle & Gifts/Gift Cards,,Yes,Web Use,,,Web Use,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Retail Use,Root Category/Mens/Lifestyle & Gifts/Gift Cards,,Yes,Retail Use,,,Retail Use,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
iPhone Cases,Root Category/Mens/Lifestyle & Gifts/LifeStyle,,Yes,iPhone Cases,,,iPhone Cases,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Sunglasses,Root Category/Mens/Lifestyle & Gifts/LifeStyle,,Yes,Sunglasses,,,Sunglasses,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Ties,Root Category/Mens/Lifestyle & Gifts/LifeStyle,,Yes,Ties,,,Ties,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Lanyards,Root Category/Mens/Lifestyle & Gifts/LifeStyle,,Yes,Lanyards,,,Lanyards,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Note Cards,Root Category/Mens/Lifestyle & Gifts/LifeStyle,,Yes,Note Cards,,,Note Cards,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Stickers,Root Category/Mens/Lifestyle & Gifts/LifeStyle,,Yes,Stickers,,,Stickers,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Car Magnets,Root Category/Mens/Lifestyle & Gifts/LifeStyle,,Yes,Car Magnets,,,Car Magnets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Street Signs,Root Category/Mens/Lifestyle & Gifts/LifeStyle,,Yes,Street Signs,,,Street Signs,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Stocking Stuffers,Root Category/Mens/Lifestyle & Gifts/LifeStyle,,Yes,Stocking Stuffers,,,Stocking Stuffers,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Mid,Root Category/Mens/Footwear/Cleats,,Yes,Mid,,,Mid,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Low,Root Category/Mens/Footwear/Cleats,,Yes,Low,,,Low,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Mid,Root Category/Mens/Footwear/Turfs,,Yes,Mid,,,Mid,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Low,Root Category/Mens/Footwear/Turfs,,Yes,Low,,,Low,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Mid,Root Category/Mens/Footwear/Sneakers,,Yes,Mid,,,Mid,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Low,Root Category/Mens/Footwear/Sneakers,,Yes,Low,,,Low,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Crew,Root Category/Mens/Footwear/Socks,,Yes,Crew,,,Crew,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
No Show,Root Category/Mens/Footwear/Socks,,Yes,No Show,,,No Show,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
